slug,image_index,role,file_name,r2_key,url,width,height,bytes,source_url
e-commerce-main-image-luxury-amber-perfume-ad,1,cover,e-commerce-main-image-luxury-amber-perfume-ad-01.webp,assets/images/gallery/e-commerce-main-image-luxury-amber-perfume-ad-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-luxury-amber-perfume-ad-01.webp,1800,1800,147478,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case113/output.jpg
e-commerce-main-image-skincare-product-studio-shot,1,cover,e-commerce-main-image-skincare-product-studio-shot-01.webp,assets/images/gallery/e-commerce-main-image-skincare-product-studio-shot-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-skincare-product-studio-shot-01.webp,1800,2156,124776,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case114/output.jpg
e-commerce-main-image-tropical-citrus-soda-ad-poster,1,cover,e-commerce-main-image-tropical-citrus-soda-ad-poster-01.webp,assets/images/gallery/e-commerce-main-image-tropical-citrus-soda-ad-poster-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-tropical-citrus-soda-ad-poster-01.webp,1800,2700,398158,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case115/output.jpg
e-commerce-main-image-industrial-design-presentation-sheet,1,cover,e-commerce-main-image-industrial-design-presentation-sheet-01.webp,assets/images/gallery/e-commerce-main-image-industrial-design-presentation-sheet-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-industrial-design-presentation-sheet-01.webp,1800,2700,144612,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case116/output.jpg
e-commerce-main-image-luxury-fur-lined-loafer-lifestyle-photo,1,cover,e-commerce-main-image-luxury-fur-lined-loafer-lifestyle-photo-01.webp,assets/images/gallery/e-commerce-main-image-luxury-fur-lined-loafer-lifestyle-photo-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-luxury-fur-lined-loafer-lifestyle-photo-01.webp,1800,1350,172848,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case117/output.jpg
e-commerce-main-image-luxury-perfume-ad-on-marble-vanity,1,cover,e-commerce-main-image-luxury-perfume-ad-on-marble-vanity-01.webp,assets/images/gallery/e-commerce-main-image-luxury-perfume-ad-on-marble-vanity-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-luxury-perfume-ad-on-marble-vanity-01.webp,1800,1800,124438,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case118/output.jpg
e-commerce-main-image-miniature-diorama-skincare-advertisement,1,cover,e-commerce-main-image-miniature-diorama-skincare-advertisement-01.webp,assets/images/gallery/e-commerce-main-image-miniature-diorama-skincare-advertisement-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-miniature-diorama-skincare-advertisement-01.webp,1800,2400,161938,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case151/output.jpg
e-commerce-main-image-traditional-chinese-art-and-porcelain-vases,1,cover,e-commerce-main-image-traditional-chinese-art-and-porcelain-vases-01.webp,assets/images/gallery/e-commerce-main-image-traditional-chinese-art-and-porcelain-vases-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-traditional-chinese-art-and-porcelain-vases-01.webp,1800,1200,221192,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case152/output.jpg
e-commerce-main-image-premium-gaming-motherboard-studio-shot,1,cover,e-commerce-main-image-premium-gaming-motherboard-studio-shot-01.webp,assets/images/gallery/e-commerce-main-image-premium-gaming-motherboard-studio-shot-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-premium-gaming-motherboard-studio-shot-01.webp,1800,1350,197786,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case153/output.jpg
e-commerce-main-image-premium-grain-powder-ad-board,1,cover,e-commerce-main-image-premium-grain-powder-ad-board-01.webp,assets/images/gallery/e-commerce-main-image-premium-grain-powder-ad-board-01.webp,https://cdn.aigptimage.com/assets/images/gallery/e-commerce-main-image-premium-grain-powder-ad-board-01.webp,1800,2700,398782,docs/网站资料/gptimage2/提示词github原始资料/awesome-gpt-image-2-prompts-main/images/poster_case154/output.jpg
